properties.Google Maps URL,Latitude,Longitude,properties.Location.Address,properties.Location.Business Name,Category
http://maps.google.com/?cid=7785906335385577463,34.2322807,-77.8740214,"419 College Rd, Wilmington, NC 28403, United States",Game Giant,Site
http://maps.google.com/?cid=5121702227851763447,34.2444893,-77.8750612,"5225 Sigmon Rd #120, Wilmington, NC 28403, United States",GameStop,Site
http://maps.google.com/?cid=6060856779854675596,34.2421603,-77.8296521,"6858 Main St, Wilmington, NC 28405, United States",GameStop,Site
http://maps.google.com/?cid=7242401768414073234,34.2119883,-77.8945781,"4107 Oleander Dr STE D, Wilmington, NC 28403, United States",Cape Fear Games,Site
http://maps.google.com/?cid=12748574642795460023,34.2427194,-77.8662663,"210 Eastwood Rd, Wilmington, NC 28403, United States",The Home Depot,Site
http://maps.google.com/?cid=3464139631767067285,34.2136375,-77.9007647,"3804 Oleander Dr, Wilmington, NC 28403, United States",Whole Foods Market,Site
http://maps.google.com/?cid=10466744807661914890,34.2107721,-77.8857637,"1437 College Rd, Wilmington, NC 28403, United States",Trader Joe's,Site
http://maps.google.com/?cid=15727418766798336168,34.2422033,-77.874065,"5226 Sigmon Rd, Wilmington, NC 28403, United States",Walmart Supercenter,Site
http://maps.google.com/?cid=10665523494799155265,34.2416797,-77.9508027,"505 Nutt St, Wilmington, NC 28401, United States",Wilmington Railroad Museum,Site
http://maps.google.com/?cid=2128652923639609218,34.2358178,-77.9383561,"814 Market St, Wilmington, NC 28401, United States",Cape Fear Museum of History and Science,Site
http://maps.google.com/?cid=12427640652196879802,34.2361477,-77.9430101,"503 Market St, Wilmington, NC 28401, United States",Bellamy Mansion Museum,Site
http://maps.google.com/?cid=6304251078705953725,34.2352069,-77.9462863,"224 Market St, Wilmington, NC 28401, United States",Burgwin-Wright House and Gardens,Site
http://maps.google.com/?cid=16146057901126807456,34.2332635,-77.946049,"126 S 3rd St, Wilmington, NC 28401, United States",Lower Cape Fear Historical Society,Site
http://maps.google.com/?cid=9929874034729092462,34.2332177,-77.9461429,"Latimer House, 126 S 3rd St, Wilmington, NC 28401, United States",Latimer House,Site
http://maps.google.com/?cid=6142223175842785251,34.232975,-77.9421999,"510 Orange St, Wilmington, NC 28401, United States",BahrHaus International Art Museum,Site
http://maps.google.com/?cid=11326086436581725497,34.2365524,-77.9543704,"1 Battleship Rd NE, Wilmington, NC 28401, United States",Battleship North Carolina,Site
http://maps.google.com/?cid=17203998642764648491,34.1840949,-77.9154152,"3201 S 17th St, Wilmington, NC 28412, United States",Cameron Art Museum,Site
http://maps.google.com/?cid=2001015407076671249,34.244838,-77.829143,"6881 Monument Dr, Wilmington, NC 28405, United States",Michaels,Site
http://maps.google.com/?cid=869023117213075443,34.2305512,-77.8277043,"1319 Military Cutoff Rd A-3, Wilmington, NC 28405, United States",Dollar Tree,Site
http://maps.google.com/?cid=14042169684133913272,34.2198805,-77.8223951,"7002 Wrightsville Ave, Wilmington, NC 28403, United States","Craft American Hardware, Inc",Site
http://maps.google.com/?cid=2182065911543648411,34.243275,-77.830195,"850 Inspiration Dr, Wilmington, NC 28405, United States",Barnes & Noble,Site
http://maps.google.com/?cid=4858016040935882434,34.2444213,-77.8300477,"820 Inspiration Dr, Wilmington, NC 28405, United States",World Market,Site
http://maps.google.com/?cid=16086089981099739782,34.2490407,-77.8808522,"4711 New Centre Dr, Wilmington, NC 28405, United States",Target,Site
http://maps.google.com/?cid=18428912269719907445,34.2139188,-77.9060634,"3500 Oleander Dr Space R050, Wilmington, NC 28403, United States",Five Below,Site
http://maps.google.com/?cid=8978538966993954822,34.2182979,-77.8302416,"300 Airlie Rd, Wilmington, NC 28403, United States",Airlie Gardens,Site
http://maps.google.com/?cid=16640895103615944559,34.2113405,-77.8350972,"6206 Oleander Dr, Wilmington, NC 28403, United States",New Hanover County Arboretum | N.C. Cooperative Extension,Site
http://maps.google.com/?cid=12289764572912140843,34.2068315,-77.9067143,"3800 Canterbury Rd, Wilmington, NC 28403, United States",Stanley Rehder Carnivorous Plant Garden at Piney Ridge Nature Preserve - Wilmington,Site
http://maps.google.com/?cid=1028811178039217758,35.7779965,-78.6380354,"207 S Wilmington St, Raleigh, NC 27601, United States",Taz's Supermarket One,Site
http://maps.google.com/?cid=7185660506050790946,35.7762991,-78.6381696,"327 S Wilmington St, Raleigh, NC 27601, United States",Clyde Cooper's Barbeque,Site
http://maps.google.com/?cid=10093907628476645049,34.2417317,-77.9522292,"1 Estell Lee Pl Unit 201, Wilmington, NC 28401, United States",Wilmington and Beaches Convention and Visitors Bureau,Site
